Date,Announcements
2008-10-08,FFR target decrease *intermeeting
2008-10-29,FFR target decrease
2008-11-25,MBS and agency debt purchase *intermeeting
2008-12-16,FFR target decrease
2009-01-28,
2009-03-18,QE 1 
2009-04-29,
2009-06-24,
2009-08-12,
2009-09-23,
2009-11-04,
2009-12-16,
2010-01-27,
2010-03-16,
2010-04-28,
2010-06-23,
2010-08-10,
2010-09-21,
2010-11-03,QE 2 announcement
2010-12-14,
2011-01-26,
2011-03-15,
2011-04-27,
2011-06-22,
2011-08-09,
2011-09-21,Operation Twist
2011-11-02,
2011-12-13,
2012-01-25,
2012-03-13,
2012-04-25,
2012-06-20,
2012-08-01,
2012-09-13,
2012-10-24,
2012-12-12,
2013-01-30,
2013-03-20,
2013-05-01,
2013-06-19,Taper-Tantrum 1
2013-09-18,Taper-Tantrum 2
2013-10-30,
2013-12-18,
2014-01-29,
2014-03-19,
2014-04-30,
2014-06-18,
2014-07-30,
2014-09-17,
2014-10-29,End of asset purchases
2014-12-17,
2015-01-28,
2015-03-18,
2015-04-29,
2015-06-17,
2015-07-29,
2015-09-17,Delay in FFR raise
2015-10-28,
2015-12-16,
2016-01-27,
2016-03-16,
2016-04-27,
2016-06-15,
2016-07-27,
2016-09-21,
2016-11-02,
2016-12-14,
2017-02-01,
2017-03-15,
2017-05-03,
2017-06-14,
2017-07-26,
2020-09-20,
2017-11-01,
2017-12-13,
2018-01-31,
2018-03-21,
2018-05-02,
